CompanyCode,YearEnding,Months,Quarter,Sales,Expenses,EBIDTA,Interest,Depreciation,Extraordinary,OPM,Tax,PATRAW,PAT,Equity,Reserves,EPS,NPM,Ext_Flag,Q1 EPS Growth,Q1 Sales Growth,Q2 EPS,Q2 EPS Growth,Q2 Sales,Q2 Sales Growth
17024390.000000,2022-12-31,3.000000,3.000000,153386000.000000,93825000.000000,59561000.000000,34493000.000000,10429000.000000,0.000000,14639000.000000,11468000.000000,3171000.000000,3171000.000000,1470935000.000000,0.000000,0.002156,2.067333,0.000000,,,,,,
13090144.000000,2022-12-31,3.000000,3.000000,2745103000.000000,2665408000.000000,79695000.000000,66885000.000000,53004000.000000,0.000000,-40194000.000000,-10946000.000000,-29248000.000000,-29248000.000000,520890000.000000,0.000000,-0.056150,-1.065461,0.000000,,,,,,
17040844.000000,2022-12-31,3.000000,3.000000,240300000.000000,198723000.000000,41577000.000000,6022000.000000,681000.000000,0.000000,34874000.000000,8833000.000000,26041000.000000,26041000.000000,101288000.000000,0.000000,0.257099,10.836871,0.000000,,,,,,
14093690.000000,2022-12-31,3.000000,3.000000,3896000.000000,2331000.000000,1565000.000000,0.000000,0.000000,0.000000,1565000.000000,0.000000,1565000.000000,1565000.000000,100382000.000000,0.000000,0.015590,40.169405,0.000000,,,,,,
14093690.000000,2023-03-31,3.000000,4.000000,11376000.000000,8342000.000000,3034000.000000,0.000000,127000.000000,0.000000,2907000.000000,1901000.000000,1006000.000000,1006000.000000,118517000.000000,22482000.000000,0.008488,8.843179,0.000000,,,,,,
17040844.000000,2023-03-31,3.000000,4.000000,227301000.000000,213712000.000000,13589000.000000,8052000.000000,-48000.000000,0.000000,5585000.000000,2145000.000000,3440000.000000,3440000.000000,139288000.000000,826079110.000000,0.024697,1.513412,0.000000,,,,,,
14093690.000000,2023-06-30,3.000000,1.000000,3875000.000000,2560000.000000,1315000.000000,0.000000,0.000000,0.000000,1315000.000000,0.000000,1315000.000000,1315000.000000,100382000.000000,0.000000,0.013100,33.935484,0.000000,,,,,,
14093690.000000,2023-09-30,3.000000,2.000000,5851000.000000,3783000.000000,2068000.000000,0.000000,50000.000000,0.000000,2018000.000000,0.000000,2018000.000000,2018000.000000,100382000.000000,0.000000,0.020103,34.489831,0.000000,,,,,,
11140172.000000,2023-09-30,3.000000,2.000000,129472000.000000,105668000.000000,23804000.000000,28000.000000,450000.000000,0.000000,23326000.000000,2256000.000000,21070000.000000,21070000.000000,59608000.000000,0.000000,0.353476,16.273789,0.000000,,,,,,
14590096.000000,2023-09-30,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,148327000.000000,0.000000,0.000000,,0.000000,100.0,,,,,
13090144.000000,2023-09-30,3.000000,2.000000,1733477000.000000,1649600000.000000,83877000.000000,80851000.000000,72164000.000000,0.000000,-69138000.000000,-19169000.000000,-49969000.000000,-49969000.000000,520890000.000000,0.000000,-0.095930,-2.882588,0.000000,,,,,,
15100020.000000,2023-09-30,3.000000,2.000000,232000.000000,535000.000000,-303000.000000,0.000000,70000.000000,0.000000,-373000.000000,0.000000,-373000.000000,-373000.000000,69614000.000000,0.000000,-0.005358,-160.775862,0.000000,-809.7560975609756,-66.13138686131387,,,,
14090358.000000,2023-12-31,3.000000,3.000000,44617000.000000,2848000.000000,41769000.000000,0.000000,33000.000000,0.000000,41736000.000000,10161000.000000,31575000.000000,31575000.000000,104821000.000000,0.000000,0.301228,70.768989,0.000000,145.1094550535631,128.66441164411643,,,,
15100020.000000,2023-12-31,3.000000,3.000000,0.000000,1120000.000000,-1120000.000000,0.000000,70000.000000,0.000000,-1190000.000000,0.000000,-1190000.000000,-1190000.000000,69614000.000000,0.000000,-0.017094,-inf,0.000000,,,,,,
14010005.000000,2023-12-31,3.000000,4.000000,6282500000.000000,3568700000.000000,2713800000.000000,5900000.000000,171400000.000000,0.000000,2536500000.000000,225900000.000000,2310600000.000000,2310600000.000000,73100000.000000,0.000000,31.608755,36.778353,0.000000,110.43715846994537,34.33330482381115,,,,
14060284.000000,2023-12-31,3.000000,3.000000,28211000.000000,20435000.000000,7776000.000000,6000.000000,52000.000000,0.000000,7718000.000000,1946000.000000,5772000.000000,5772000.000000,250162000.000000,0.000000,0.023073,20.460104,0.000000,41.332027424094036,173.23002421307504,,,,
16570011.000000,2023-12-31,3.000000,3.000000,4300000.000000,900000.000000,3400000.000000,3600000.000000,200000.000000,0.000000,-400000.000000,0.000000,-400000.000000,-400000.000000,102600000.000000,0.000000,-0.003899,-9.302326,0.000000,96.46017699115043,975.0,,,,
14060226.000000,2023-12-31,3.000000,3.000000,8948350.000000,2216950.000000,6731400.000000,872590.000000,1175630.000000,0.000000,4683180.000000,867780.000000,3815400.000000,3815400.000000,115637500.000000,0.000000,0.032994,42.638028,0.000000,159.11035653650254,56.24083334497353,,,,
17020006.000000,2023-12-31,3.000000,3.000000,4000.000000,1185000.000000,-1181000.000000,1392000.000000,132000.000000,0.000000,-2705000.000000,0.000000,-2705000.000000,-2705000.000000,914628000.000000,0.000000,-0.002957,-67625.000000,0.000000,11.659046374918354,-60.0,,,,
